ebird_code,scientific_name,common_name,alpha
orfscr1,Megapodius reinwardt,Orange-footed Scrubfowl,
placha,Ortalis vetula,Plain Chachalaca,PLCH
grhcha1,Ortalis cinereiceps,Grey-headed Chachalaca,GHEC
chwcha1,Ortalis garrula,Chestnut-winged Chachalaca,
ruvcha1,Ortalis ruficauda,Rufous-vented Chachalaca,RVCH
ruhcha1,Ortalis erythroptera,Rufous-headed Chachalaca,
rubcha1,Ortalis wagleri,Rufous-bellied Chachalaca,RBEC
wemcha1,Ortalis poliocephala,West Mexican Chachalaca,WMCH
chacha1,Ortalis canicollis,Chaco Chachalaca,
whbcha1,Ortalis leucogastra,White-bellied Chachalaca,WBCH
specha3,Ortalis guttata,Speckled Chachalaca,
specha2,Ortalis araucuan,East Brazilian Chachalaca,
specha4,Ortalis squamata,Scaled Chachalaca,
colcha1,Ortalis columbiana,Colombian Chachalaca,
varcha1,Ortalis motmot,Little Chachalaca,
varcha3,Ortalis ruficeps,Chestnut-headed Chachalaca,
bubcha1,Ortalis superciliaris,Buff-browed Chachalaca,
batgua1,Penelope argyrotis,Band-tailed Guan,
beagua1,Penelope barbata,Bearded Guan,
baugua1,Penelope ortoni,Baudo Guan,
andgua1,Penelope montagnii,Andean Guan,
margua1,Penelope marail,Marail Guan,
rumgua1,Penelope superciliaris,Rusty-margined Guan,
refgua1,Penelope dabbenei,Red-faced Guan,
cregua1,Penelope purpurascens,Crested Guan,CRGU
caugua1,Penelope perspicax,Cauca Guan,
whwgua1,Penelope albipennis,White-winged Guan,
spigua1,Penelope jacquacu,Spix's Guan,
dulgua1,Penelope obscura,Dusky-legged Guan,
dulgua3,Penelope bridgesi,Yungas Guan,
whcgua1,Penelope pileata,White-crested Guan,
chbgua1,Penelope ochrogaster,Chestnut-bellied Guan,
whbgua1,Penelope jacucaca,White-browed Guan,
butpig1,Pipile cumanensis,Blue-throated Piping Guan,
rtpgua1,Pipile cujubi,Red-throated Piping Guan,
bfpgua1,Pipile jacutinga,Black-fronted Piping Guan,
watgua1,Aburria aburri,Wattled Guan,
blagua1,Chamaepetes unicolor,Black Guan,BLAG
siwgua1,Chamaepetes goudotii,Sickle-winged Guan,
higgua1,Penelopina nigra,Highland Guan,HIGU
horgua1,Oreophasis derbianus,Horned Guan,HOGU
noccur1,Nothocrax urumutum,Nocturnal Curassow,
crecur2,Mitu tomentosum,Crestless Curassow,
salcur1,Mitu salvini,Salvin's Curassow,
rabcur2,Mitu tuberosum,Razor-billed Curassow,
helcur1,Pauxi pauxi,Helmeted Curassow,
horcur2,Pauxi koepckeae,Sira Curassow,
grecur1,Crax rubra,Great Curassow,GRCU
bubcur1,Crax alberti,Blue-billed Curassow,
yekcur1,Crax daubentoni,Yellow-knobbed Curassow,
blacur1,Crax alector,Black Curassow,
watcur1,Crax globulosa,Wattled Curassow,
bafcur1,Crax fasciolata,Bare-faced Curassow,
rebcur1,Crax blumenbachii,Red-billed Curassow,
whbgui1,Agelastes meleagrides,White-breasted Guineafowl,
helgui,Numida meleagris,Helmeted Guineafowl,HELG
plugui1,Guttera plumifera,Plumed Guineafowl,
cregui3,Guttera pucherani,Eastern Crested Guineafowl,
vulgui1,Acryllium vulturinum,Vulturine Guineafowl,
stopar1,Ptilopachus petrosus,Stone Partridge,
nahfra2,Ptilopachus nahani,Nahan's Partridge,
bcwpar1,Dendrortyx leucophrys,Buffy-crowned Wood Partridge,BCWP
ltwpar1,Dendrortyx macroura,Long-tailed Wood Partridge,LTWP
bewpar1,Dendrortyx barbatus,Bearded Wood Partridge,BEWP
mouqua,Oreortyx pictus,Mountain Quail,MOUQ
scaqua,Callipepla squamata,Scaled Quail,SCQU
elequa,Callipepla douglasii,Elegant Quail,ELQU
calqua,Callipepla californica,California Quail,CAQU
gamqua,Callipepla gambelii,Gambel's Quail,GAQU
banqua1,Philortyx fasciatus,Banded Quail,BAQU
norbob,Colinus virginianus,Northern Bobwhite,NOBO
bltbob1,Colinus nigrogularis,Yucatan Bobwhite,BTBO
crebob2,Colinus leucopogon,Spot-bellied Bobwhite,SPBO
crebob1,Colinus cristatus,Crested Bobwhite,CRBO
mawqua1,Odontophorus gujanensis,Marbled Wood Quail,MAWQ
swwqua1,Odontophorus capueira,Spot-winged Wood Quail,
bewqua1,Odontophorus melanotis,Black-eared Wood Quail,BEWQ
rfwqua1,Odontophorus erythrops,Rufous-fronted Wood Quail,
bfwqua1,Odontophorus atrifrons,Black-fronted Wood Quail,
chwqua1,Odontophorus hyperythrus,Chestnut Wood Quail,
dbwqua1,Odontophorus melanonotus,Dark-backed Wood Quail,
rbwqua1,Odontophorus speciosus,Rufous-breasted Wood Quail,
tawqua1,Odontophorus dialeucos,Tacarcuna Wood Quail,TAWQ
gowqua1,Odontophorus strophium,Gorgeted Wood Quail,
venwoq1,Odontophorus columbianus,Venezuelan Wood Quail,
bbwqua1,Odontophorus leucolaemus,Black-breasted Wood Quail,BBWQ
sfwqua1,Odontophorus balliviani,Stripe-faced Wood Quail,
stwqua1,Odontophorus stellatus,Starred Wood Quail,
spwqua1,Odontophorus guttatus,Spotted Wood Quail,SPWQ
sinqua1,Dactylortyx thoracicus,Singing Quail,SIQU
monqua,Cyrtonyx montezumae,Montezuma Quail,MONQ
ocequa1,Cyrtonyx ocellatus,Ocellated Quail,OCQU
tafqua1,Rhynchortyx cinctus,Tawny-faced Quail,TFQU
ferpar2,Caloperdix oculeus,Ferruginous Partridge,
crepar1,Rollulus rouloul,Crested Partridge,
hilpar1,Arborophila torqueola,Hill Partridge,
sicpar1,Arborophila rufipectus,Sichuan Partridge,
chbpar2,Arborophila mandellii,Chestnut-breasted Partridge,
whnpar2,Arborophila gingica,White-necklaced Partridge,
rutpar1,Arborophila rufogularis,Rufous-throated Partridge,
chhpar3,,,
haipar1,Arborophila ardens,Hainan Partridge,
taipar1,Arborophila crudigularis,Taiwan Partridge,
whcpar1,Arborophila atrogularis,White-cheeked Partridge,
babpar1,Arborophila brunneopectus,Bar-backed Partridge,
ornpar1,Arborophila davidi,Orange-necked Partridge,
rebpar5,Arborophila hyperythra,Red-breasted Partridge,
gybpar3,Arborophila campbelli,Malayan Partridge,
chbpar1,Arborophila javanica,Chestnut-bellied Partridge,
snopar1,Lerwa lerwa,Snow Partridge,
blophe1,Ithaginis cruentus,Blood Pheasant,
westra1,Tragopan melanocephalus,Western Tragopan,
sattra1,Tragopan satyra,Satyr Tragopan,
blytra1,Tragopan blythii,Blyth's Tragopan,
temtra1,Tragopan temminckii,Temminck's Tragopan,
verpar1,Tetraophasis obscurus,Chestnut-throated Monal-Partridge,
szepar1,Tetraophasis szechenyii,Buff-throated Monal-Partridge,
himmon1,Lophophorus impejanus,Himalayan Monal,
chimon1,Lophophorus lhuysii,Chinese Monal,
kokphe1,Pucrasia macrolopha,Koklass Pheasant,
wiltur,Meleagris gallopavo,Wild Turkey,WITU
ocetur1,Meleagris ocellata,Ocellated Turkey,OCTU
rufgro,Bonasa umbellus,Ruffed Grouse,RUGR
hazgro1,Tetrastes bonasia,Hazel Grouse,
saggro,Centrocercus urophasianus,Sage Grouse,GRSG
gusgro,Centrocercus minimus,Gunnison Grouse,GUSG
dusgro,Dendragapus obscurus,Dusky Grouse,DUGR
soogro1,Dendragapus fuliginosus,Sooty Grouse,SOGR
shtgro,Tympanuchus phasianellus,Sharp-tailed Grouse,STGR
grpchi,Tympanuchus cupido,Greater Prairie Chicken,GRPC
lepchi,Tympanuchus pallidicinctus,Lesser Prairie Chicken,LEPC
whtpta1,Lagopus leucura,White-tailed Ptarmigan,WTPT
wilpta,Lagopus lagopus,Willow Ptarmigan,WIPT
rocpta1,Lagopus muta,Rock Ptarmigan,ROPT
sprgro,Canachites canadensis,Spruce Grouse,SPGR
wescap1,Tetrao urogallus,Western Capercaillie,
blbcap1,Tetrao urogalloides,Black-billed Capercaillie,
blagro1,Lyrurus tetrix,Black Grouse,
caugro1,Lyrurus mlokosiewiczi,Caucasian Grouse,
tibpar1,Perdix hodgsoniae,Tibetan Partridge,
grypar,Perdix perdix,Grey Partridge,GRAP
daupar1,Perdix dauurica,Daurian Partridge,
reephe1,Syrmaticus reevesii,Reeves's Pheasant,
mikphe1,Syrmaticus mikado,Mikado Pheasant,
humphe1,Syrmaticus humiae,Mrs. Hume's Pheasant,
golphe,Chrysolophus pictus,Golden Pheasant,
laaphe1,Chrysolophus amherstiae,Lady Amherst's Pheasant,
rinphe1,Phasianus colchicus,Common Pheasant,RNEP
rinphe2,Phasianus versicolor,Green Pheasant,
chephe1,Catreus wallichii,Cheer Pheasant,
whieap2,Crossoptilon harmani,Tibetan Eared Pheasant,
whieap1,Crossoptilon crossoptilon,White Eared Pheasant,
brephe1,Crossoptilon mantchuricum,Brown Eared Pheasant,
blephe1,Crossoptilon auritum,Blue Eared Pheasant,
swiphe1,Lophura swinhoii,Swinhoe's Pheasant,
bulphe1,Lophura bulweri,Bulwer's Pheasant,
kalphe,Lophura leucomelanos,Kalij Pheasant,KAPH
silphe,Lophura nycthemera,Silver Pheasant,
compea,Pavo cristatus,Indian Peafowl,INPE
grepea1,Pavo muticus,Green Peafowl,
scbpar1,Tropicoperdix chloropus,Green-legged Partridge,
crhpar1,Haematortyx sanguiniceps,Crimson-headed Partridge,
redspu1,Galloperdix spadicea,Red Spurfowl,
paispu1,Galloperdix lunulata,Painted Spurfowl,
ceyspu1,Galloperdix bicalcarata,Sri Lanka Spurfowl,
palpep1,Polyplectron napoleonis,Palawan Peacock-Pheasant,
bopphe1,Polyplectron schleiermacheri,Bornean Peacock-Pheasant,
mapphe1,Polyplectron malacense,Malayan Peacock-Pheasant,
gepphe1,Polyplectron germaini,Germain's Peacock-Pheasant,
grypep3,Polyplectron katsumatae,Hainan Peacock-Pheasant,
grypep2,Polyplectron bicalcaratum,Grey Peacock-Pheasant,
mopphe1,Polyplectron inopinatum,Mountain Peacock-Pheasant,
btpphe1,Polyplectron chalcurum,Sumatran Peacock-Pheasant,
mobpar1,Bambusicola fytchii,Mountain Bamboo Partridge,
chbpar3,Bambusicola thoracicus,Chinese Bamboo Partridge,
taibap1,Bambusicola sonorivox,Taiwan Bamboo Partridge,
grejun1,Gallus varius,Green Junglefowl,
redjun,Gallus gallus,Red Junglefowl,REJU
grejun2,Gallus sonneratii,Grey Junglefowl,
ceyjun1,Gallus lafayettii,Sri Lanka Junglefowl,
forfra2,Peliperdix lathami,Latham's Francolin,
crefra2,Ortygornis sephaena,Crested Francolin,
gryfra,Ortygornis pondicerianus,Grey Francolin,GRAF
swafra1,Ortygornis gularis,Swamp Francolin,
chifra1,Francolinus pintadeanus,Chinese Francolin,
blkfra,Francolinus francolinus,Black Francolin,BLFR
paifra1,Francolinus pictus,Painted Francolin,
coqfra2,Campocolinus coqui,Coqui Francolin,
whtfra2,Campocolinus albogularis,White-throated Francolin,
rewfra2,Scleroptila levaillantii,Red-winged Francolin,
finfra2,Scleroptila finschi,Finsch's Francolin,
moofra2,Scleroptila psilolaema,Moorland Francolin,
gywfra1,Scleroptila afra,Grey-winged Francolin,
orrfra2,Scleroptila gutturalis,Orange River Francolin,
shefra1,Scleroptila shelleyi,Shelley's Francolin,
tibsno1,Tetraogallus tibetanus,Tibetan Snowcock,
altsno1,Tetraogallus altaicus,Altai Snowcock,
causno1,Tetraogallus caucasicus,Caucasian Snowcock,
cassno1,Tetraogallus caspius,Caspian Snowcock,
himsno,Tetraogallus himalayensis,Himalayan Snowcock,HISN
sespar1,Ammoperdix griseogularis,See-see Partridge,
sanpar1,Ammoperdix heyi,Sand Partridge,
broqua1,Synoicus ypsilophorus,Brown Quail,
snmqua2,Synoicus monorthonyx,Snow Mountain Quail,
blbqua1,Synoicus chinensis,King Quail,
comqua1,Coturnix coturnix,Common Quail,
japqua,Coturnix japonica,Japanese Quail,JAQU
harqua1,Coturnix delegorguei,Harlequin Quail,
raiqua1,Coturnix coromandelica,Rain Quail,
stuqua1,Coturnix pectoralis,Stubble Quail,
barpar2,Alectoris barbara,Barbary Partridge,
arapar1,Alectoris melanocephala,Arabian Partridge,
relpar1,Alectoris rufa,Red-legged Partridge,
chukar,Alectoris chukar,Chukar Partridge,CHUK
rocpar2,Alectoris graeca,Rock Partridge,
phipar1,Alectoris philbyi,Philby's Partridge,
przpar1,Alectoris magna,Przevalski's Partridge,
jubqua1,Perdicula asiatica,Jungle Bush Quail,
robqua1,Perdicula argoondah,Rock Bush Quail,
pabqua1,Perdicula erythrorhyncha,Painted Bush Quail,
harfra3,Pternistis hartlaubi,Hartlaub's Spurfowl,
camfra2,Pternistis camerunensis,Mount Cameroon Spurfowl,
hanfra2,Pternistis nobilis,Handsome Spurfowl,
chnfra2,Pternistis castaneicollis,Chestnut-naped Spurfowl,
chnfra3,,,
ercfra,Pternistis erckelii,Erckel's Spurfowl,ERFR
djifra1,Pternistis ochropectus,Djibouti Spurfowl,
swifra2,Pternistis swierstrai,Swierstra's Spurfowl,
ahafra2,Pternistis ahantensis,Ahanta Spurfowl,
gysfra1,Pternistis griseostriatus,Grey-striped Spurfowl,
jacfra2,Pternistis jacksoni,Jackson's Spurfowl,
rebfra1,Pternistis adspersus,Red-billed Spurfowl,
capfra2,Pternistis capensis,Cape Spurfowl,
natfra2,Pternistis natalensis,Natal Spurfowl,
hilfra2,Pternistis hildebrandti,Hildebrandt's Spurfowl,
dosfra2,Pternistis bicalcaratus,Double-spurred Spurfowl,
scafra2,Pternistis squamatus,Scaly Spurfowl,
heufra1,Pternistis icterorhynchus,Heuglin's Spurfowl,
clafra1,Pternistis clappertoni,Clapperton's Spurfowl,
harfra4,Pternistis harwoodi,Harwood's Spurfowl,
swafra2,Pternistis swainsonii,Swainson's Spurfowl,
yenspu1,Pternistis leucoscepus,Yellow-necked Spurfowl,
gybfra1,Pternistis rufopictus,Grey-breasted Spurfowl,
renfra1,Pternistis afer,Red-necked Spurfowl,
sponig1,Eurostopodus argus,Spotted Nightjar,
whtnig3,Eurostopodus mystacalis,White-throated Nightjar,
dianig1,Eurostopodus diabolicus,Satanic Nightjar,
papnig1,Eurostopodus papuensis,Papuan Nightjar,
malnig1,Lyncornis temminckii,Malaysian Eared Nightjar,
grenig1,Lyncornis macrotis,Great Eared Nightjar,
nacnig1,Chordeiles nacunda,Nacunda Nighthawk,
leanig1,Chordeiles pusillus,Least Nighthawk,
sacnig1,Chordeiles rupestris,Sand-colored Nighthawk,
lesnig,Chordeiles acutipennis,Lesser Nighthawk,LENI
comnig,Chordeiles minor,Common Nighthawk,CONI
antnig,Chordeiles gundlachii,Antillean Nighthawk,ANNI
shtnig1,Lurocalis semitorquatus,Short-tailed Nighthawk,SHTN
rubnig1,Lurocalis rufiventris,Rufous-bellied Nighthawk,
batnig1,Nyctiprogne leucopyga,Band-tailed Nighthawk,
bahnig1,Nyctiprogne vielliardi,Plain-tailed Nighthawk,
blanig1,Nyctipolus nigrescens,Blackish Nightjar,
pygnig1,Nyctipolus hirundinaceus,Pygmy Nightjar,
compau,Nyctidromus albicollis,Pauraque,COPA
scrnig1,Nyctidromus anthonyi,Anthony's Nightjar,
samnig1,Setopagis heterura,Todd's Nightjar,
litnig1,Setopagis parvula,Little Nightjar,
siwnig1,Eleothreptus anomalus,Sickle-winged Nightjar,
