ebird_code,scientific_name,common_name,alpha
ancbar1,Stactolaema anchietae,Anchieta's Barbet,
anccha1,Xenocopsychus ansorgei,Angola Cave Chat,
ancdov1,Macropygia rufipennis,Andaman Cuckoo-Dove,
anchum1,Orthorhyncus cristatus,Antillean Crested Hummingbird,ACHU
ancmur,Synthliboramphus antiquus,Ancient Murrelet,ANMU
ancsun1,Anthreptes anchietae,Anchieta's Sunbird,
anctap1,Scytalopus affinis,Ancash Tapaculo,
andavo1,Recurvirostra andina,Andean Avocet,
andbul1,Brachypodius fuscoflavescens,,
andcon1,Vultur gryphus,Andean Condor,
andcot1,Rupicola peruvianus,Andean Cock-of-the-rock,
andcou1,Centropus andamanensis,Andaman Coucal,
andcra1,Rallina canningi,Andaman Crake,
andcus1,Coracina dobsoni,Andaman Cuckooshrike,
anddro1,Dicrurus andamanensis,Andaman Drongo,
andduc1,Oxyura ferruginea,,
andeme1,Uranomitra franciae,Andean Emerald,
andfla2,Phoenicoparrus andinus,Andean Flamingo,
andfli1,Colaptes rupicola,Andean Flicker,
andflo1,Dicaeum virescens,Andaman Flowerpecker,
andgoo1,Oressochen melanopterus,,
andgua1,Penelope montagnii,Andean Guan,
andgul1,Chroicocephalus serranus,Andean Gull,
andhao1,Ninox affinis,Andaman Boobook,
andhil2,Oreotrochilus stolzmanni,Green-headed Hillstar,
andhil3,Oreotrochilus estella,Andean Hillstar,
andlap1,Vanellus resplendens,Andean Lapwing,
andneg1,Lessonia oreas,Andean Negrito,
andnig1,Caprimulgus andamanicus,Andaman Nightjar,
andpar1,Bolborhynchus orbygnesius,Andean Parakeet,
andpot1,Nyctibius maculosus,Andean Potoo,
andsha1,Copsychus albiventris,Andaman Shama,
andsis1,Spinus spinescens,Andean Siskin,
andsni1,Gallinago jamesoni,Jameson's Snipe,
andsol1,Myadestes ralloides,Andean Solitaire,
andswa2,Orochelidon andecola,Andean Swallow,
andswi1,Aeronautes andecolus,Andean Swift,
andtea1,Anas albogularis,Andaman Teal,
andtin1,Nothoprocta pentlandii,Andean Tinamou,
andtre1,Dendrocitta bayleii,Andaman Treepie,
andtyr2,Knipolegus cabanisi,Plumbeous Tyrant,
andtyr3,Knipolegus signatus,Jelski's Black Tyrant,
andwoo1,Dryocopus hodgei,Andaman Woodpecker,
angbat1,Batis minulla,Angola Batis,
anghel1,Prionops gabela,Gabela Helmetshrike,
anglar1,Mirafra angolensis,,
angpet1,Macronectes giganteus,Southern Giant Petrel,SGPE
angslf1,Melaenornis brunneus,Angola Slaty Flycatcher,
angswa1,Hirundo angolensis,Angola Swallow,
anhing,Anhinga anhinga,Anhinga,ANHI
aniani,Magumma parva,Anianiau,ANIA
anjsun2,Cinnyris comorensis,Anjouan Sunbird,
ankser2,Crithagra ankoberensis,Ankober Serin,
annhum,Calypte anna,Anna's Hummingbird,ANHU
anpowl1,Glaucidium jardinii,Andean Pygmy Owl,
anpswi,Tachornis phoenicobia,Antillean Palm Swift,
anseag1,Spilornis elgini,Andaman Serpent Eagle,
ansgre1,Eurillas ansorgei,Ansorge's Greenbul,
ansowl1,Otus balli,Andaman Scops Owl,
ansowl2,Otus capnodes,Anjouan Scops Owl,
antant1,Grallaria urraoensis,Urrao Antpitta,
antbrf1,Atlapetes blancae,Antioquia Brushfinch,
anteup1,Chlorophonia musica,Hispaniolan Euphonia,ANEU
antman1,Anthracothorax dominicus,Hispaniolan Mango,
antnig,Chordeiles gundlachii,Antillean Nighthawk,ANNI
antpar1,Cyanoramphus unicolor,Antipodes Parakeet,
antpet1,Thalassoica antarctica,Antarctic Petrel,ANPE
antpic1,Nesoctites micromegas,Antillean Piculet,
antsha1,Leucocarbo bransfieldensis,,
antsis1,Spinus dominicensis,Antillean Siskin,
antspi1,Leptasthenura andicola,Andean Tit-Spinetail,
antter1,Sterna vittata,Antarctic Tern,ANTE
antwre2,Thryophilus sernai,Antioquia Wren,
anweye1,Zosterops griseovirescens,Annobon White-eye,
anwpig1,Columba palumboides,Andaman Wood Pigeon,
apapan,Himatione sanguinea,Apapane,APAP
apapan2,Himatione fraithii,Laysan Honeycreeper,
apbsun2,Cinnyris buettikoferi,Apricot-breasted Sunbird,
apifly1,Myiarchus apicalis,Apical Flycatcher,
aplfal,Falco femoralis,Aplomado Falcon,APFA
apomyn2,Goodfellowia miranda,Apo Myna,
apostl1,Struthidea cinerea,Apostlebird,
apowre1,Cistothorus apolinari,Apolinar's Wren,
apptet1,Xanthomixis apperti,Appert's Tetraka,
apubrf1,Atlapetes forbesi,Apurimac Brushfinch,
apuspi1,Synallaxis courseni,Apurimac Spinetail,
aquwar1,Acrocephalus paludicola,Aquatic Warbler,
arabab1,Argya squamiceps,Arabian Babbler,
arabus1,Ardeotis arabs,Arabian Bustard,
arafan1,Rhipidura dryas,Arafura Fantail,
araman1,Antilophia bokermanni,,
arapar1,Alectoris melanocephala,Arabian Partridge,
arasco1,Otus pamelae,Arabian Scops Owl,
arawax1,Estrilda rufibarba,Arabian Waxbill,
arawoo1,Dendrocoptes dorae,Arabian Woodpecker,
arcbow1,Archboldia papuensis,Archbold's Bowerbird,
arcbuz1,Buteo archeri,,
arcloo,Gavia arctica,Black-throated Loon,ARLO
arcnew1,Newtonia archboldi,Archbold's Newtonia,
arcnig1,Eurostopodus archboldi,Archbold's Nightjar,
arcter,Sterna paradisaea,Arctic Tern,ARTE
arcwar1,Phylloscopus borealis,Arctic Warbler,ARWA
arcwar2,Phylloscopus examinandus,Kamchatka Leaf Warbler,
arcwar3,Phylloscopus xanthodryas,Japanese Leaf Warbler,
arfast1,Astrapia nigra,Arfak Astrapia,
arfcat1,Ailuroedus arfakianus,,
arfhon1,Melipotes gymnops,Arfak Honeyeater,
argspa2,Passer euchlorus,Arabian Golden Sparrow,
ariwoo,Dryobates arizonae,,ARWO
armbab1,Turdoides jardineii,Arrow-marked Babbler,
armgul1,Larus armenicus,Armenian Gull,
arrcha1,Cossypha archeri,,
arrpic1,Picumnus minutissimus,Arrowhead Piculet,
arrwar1,Setophaga pharetra,Arrowhead Warbler,ARRW
artspi1,Leptasthenura setaria,Araucaria Tit-Spinetail,
asbant1,Myrmoborus lugubris,Ash-breasted Antbird,
asbfly,Muscicapa dauurica,Asian Brown Flycatcher,
asbfly1,Muscicapa randi,Ashy-breasted Flycatcher,
asbowl1,Glaucidium cuculoides,Asian Barred Owlet,
asbspi1,Cranioleuca curtata,Ash-browed Spinetail,
asbwhe1,Zosterops citrinella,Ashy-bellied White-eye,
asccra1,Mundia elpenor,Ascension Crake,
asccuc1,Coccycua cinerea,Ash-colored Cuckoo,
ascspl1,Eremopterix griseus,Ashy-crowned Sparrow-Lark,
asctap1,Myornis senilis,Ash-colored Tapaculo,
asdwar1,Curruca nana,Asian Desert Warbler,
asecuc1,Chrysococcyx maculatus,Asian Emerald Cuckoo,
asfblu1,Irena puella,Asian Fairy-bluebird,
asfbul1,Pycnonotus cinereifrons,Ashy-fronted Bulbul,
asfowl1,Tyto glaucops,Ashy-faced Owl,AFOW
asgsta1,Aplonis panayensis,Asian Glossy Starling,
asgwea2,Ploceus hypoxanthus,Asian Golden Weaver,
ashant1,Myrmotherula grisea,Yungas Antwren,
ashbab1,Pellorneum cinereiceps,Ashy-headed Babbler,
ashbul1,Hemixos flavala,Ashy Bulbul,
ashcis1,Cisticola cinereolus,Ashy Cisticola,
ashcus2,Coracina cinerea,,
ashcus3,Coracina cucullata,,
ashdro1,Dicrurus leucophaeus,Ashy Drongo,
ashflo1,Dicaeum vulneratum,Ashy Flowerpecker,
ashfly1,Fraseria caerulescens,Ashy Flycatcher,
ashgoo1,Chloephaga poliocephala,Ashy-headed Goose,
ashgre1,Hylophilus pectoralis,Ashy-headed Greenlet,
ashlar1,Mirafra ashi,,
ashlau1,Argya cinereifrons,Ashy-headed Laughingthrush,
ashmar1,Delichon dasypus,Asian House Martin,
ashmin1,Pericrocotus divaricatus,Ashy Minivet,
ashmyz1,Myzomela cineracea,Ashy Myzomela,
ashpri1,Prinia socialis,Ashy Prinia,
ashsta2,Lamprotornis unicolor,Ashy Starling,
ashtai1,Orthotomus ruficeps,Ashy Tailorbird,
ashthr1,Geokichla cinerea,Ashy Thrush,
ashtit2,Melaniparus cinerascens,Ashy Tit,
ashtyr1,Phyllomyias cinereiceps,,
ashwoo1,Mulleripicus fulvus,Ashy Woodpecker,
ashwoo2,Artamus fuscus,Ashy Woodswallow,
asidow1,Limnodromus semipalmatus,Asian Dowitcher,
asidrc2,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,
asidrc3,Surniculus lugubris,Square-tailed Drongo-Cuckoo,
asidrc4,Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,
asifri1,Fregata aquila,Ascension Frigatebird,
asikoe2,Eudynamys scolopaceus,Asian Koel,
asikoe3,Eudynamys orientalis,Pacific Koel,
asiope1,Anastomus oscitans,Asian Openbill,
asistu1,Urosphena squameiceps,Asian Stubtail,
aspfly1,Terpsiphone paradisi,Indian Paradise Flycatcher,
aspsta2,Gracupica contra,Indian Pied Myna,
aspswi1,Cypsiurus balasiensis,Asian Palm Swift,
asrfin1,Leucosticte arctoa,Asian Rosy Finch,
asslau1,Trochalopteron chrysopterum,Assam Laughingthrush,
asspet,Hydrobates homochroa,Ashy Storm Petrel,ASSP
astant1,Herpsilochmus parkeri,Ash-throated Antwren,
astcas2,Casiornis fuscus,Ash-throated Casiornis,
astcra1,Mustelirallus albicollis,Ash-throated Crake,
astfly,Myiarchus cinerascens,Ash-throated Flycatcher,ATFL
astgna1,Conopophaga peruviana,Ash-throated Gnateater,
astpar1,Sinosuthora alphonsiana,,
astwar2,Phylloscopus maculipennis,Ashy-throated Warbler,
aswant1,Euchrepomis spodioptila,Ash-winged Antwren,
aswpig1,Columba pulchricollis,Ashy Wood Pigeon,
atbtan1,Chlorospingus canigularis,Ashy-throated Chlorospingus,
atfdov1,Ptilinopus coralensis,Atoll Fruit Dove,
athscr1,Sericornis keri,Atherton Scrubwren,
atigre1,Podilymbus gigas,Atitlan Grebe,
atiswi1,Aerodramus sawtelli,Atiu Swiftlet,
atlfly1,Ficedula speculigera,Atlas Pied Flycatcher,
atlpet1,Pterodroma incerta,Atlantic Petrel,
atlpuf,Fratercula arctica,Atlantic Puffin,ATPU
atosta1,Aplonis feadensis,Atoll Starling,
attwoo1,Picoides dorsalis,American Three-toed Woodpecker,ATTW
audgul1,Ichthyaetus audouinii,Audouin's Gull,
audori,Icterus graduacauda,Audubon's Oriole,AUOR
audshe,Puffinus lherminieri,Sargasso Shearwater,SASH
audshe3,Puffinus subalaris,Galapagos Shearwater,
audwar,,,
augbuz1,Buteo augur,Augur Buzzard,
auimer1,Mergus australis,New Zealand Merganser,
auirai1,Lewinia muelleri,Auckland Rail,
auisha1,Leucocarbo colensoi,Auckland Shag,
auitea1,Anas aucklandica,Auckland Teal,
aukpar1,Alisterus scapularis,Australian King Parrot,
aumowl1,Tyto novaehollandiae,Australasian Masked Owl,
auonig1,Aegotheles cristatus,Australian Owlet-nightjar,
aupowl1,Glaucidium nana,Austral Pygmy Owl,
aurwar1,Acrocephalus australis,Australian Reed Warbler,
ausbit1,Botaurus poiciloptilus,Australasian Bittern,
ausbla1,Curaeus curaeus,Austral Blackbird,
ausbrt1,Alectura lathami,Australian Brushturkey,
ausbus1,Ardeotis australis,Australian Bustard,
ausbus2,Mirafra javanica,Singing Bush Lark,
auscan1,Asthenes anthoides,Austral Canastero,
auscra1,Porzana fluminea,Australian Crake,
ausfig1,Sphecotheres vieilloti,Australasian Figbird,
ausgan1,Morus serrator,Australasian Gannet,
ausgre1,Tachybaptus novaehollandiae,Australasian Grebe,
ausgro1,Tyto longimembris,Eastern Grass Owl,
aushob1,Falco longipennis,Australian Hobby,
ausibi1,Threskiornis molucca,Australian White Ibis,
auskes1,Falco cenchroides,Nankeen Kestrel,
auskit1,Elanus axillaris,Black-shouldered Kite,
ausmag2,Gymnorhina tibicen,Australian Magpie,
ausneg1,Lessonia rufa,Austral Negrito,
auspar1,Enicognathus ferrugineus,Austral Parakeet,
auspas1,Rostratula australis,Australian Painted-snipe,
auspel1,Pelecanus conspicillatus,Australian Pelican,
auspip1,Anthus novaeseelandiae,New Zealand Pipit,
auspip2,,,
auspra1,Stiltia isabella,,
ausrai1,Rallus antarcticus,Austral Rail,
ausrav1,Corvus coronoides,Australian Raven,
ausshe1,Tadorna tadornoides,Australian Shelduck,
aussho1,Spatula rhynchotis,Australasian Shoveler,
ausswi1,Aerodramus terraereginae,Australian Swiftlet,
austhr1,Turdus falcklandii,Austral Thrush,
ayebul1,Pycnonotus blanfordi,Ayeyarwady Bulbul,
ayheag1,Hieraaetus ayresii,Ayres's Hawk-Eagle,
ayweye3,Zosterops luteus,Canary White-eye,
azaspi1,Synallaxis azarae,Azara's Spinetail,
azbpit1,Pitta steerii,Azure-breasted Pitta,
azchum1,Saucerottia cyanocephala,Azure-crowned Hummingbird,
azhjay1,Cyanolyca cucullata,Azure-hooded Jay,
aznjay1,Cyanocorax heilprini,Azure-naped Jay,
azrpar1,Tanygnathus sumatranus,Azure-rumped Parrot,
azrtan1,Poecilostreptus cabanisi,Azure-rumped Tanager,
azstan1,Thraupis cyanoptera,Azure-shouldered Tanager,
aztthr,Ridgwayia pinicola,Aztec Thrush,AZTH
azugal1,Porphyrio flavirostris,Azure Gallinule,
azujay1,Cyanocorax caeruleus,,
azukin1,Ceyx azureus,Azure Kingfisher,
azutit2,Cyanistes cyanus,Azure Tit,
azwmag2,Cyanopica cyanus,Azure-winged Magpie,
azwmag3,Cyanopica cooki,Iberian Magpie,
babcra1,Zapornia paykullii,Band-bellied Crake,
babcuc2,Cacomantis sonneratii,Banded Bay Cuckoo,
babcuc4,Coccyzus rufigularis,Bay-breasted Cuckoo,
babcus1,Coracina striata,Bar-bellied Cuckooshrike,
babfir1,Lagonosticta rufopicta,Bar-breasted Firefinch,
babhon1,Ramsayornis fasciatus,Bar-breasted Honeyeater,
babowl1,Pulsatrix melanota,Band-bellied Owl,
babpar1,Arborophila brunneopectus,Bar-backed Partridge,
babpic1,Picumnus aurifrons,Bar-breasted Piculet,
babpit1,Hydrornis elliotii,Bar-bellied Pitta,
babshr1,Lanius vittatus,Bay-backed Shrike,
babsta1,Neocichla gutturalis,Babbling Starling,
babtan1,Tangara vassorii,Blue-and-black Tanager,
babwar,Setophaga castanea,Bay-breasted Warbler,BBWA
babwoo1,Hylexetastes stresemanni,Bar-bellied Woodcreeper,
babwoo2,Dryobates nigriceps,,
babwoo3,Meiglyptes jugularis,Black-and-buff Woodpecker,
babwre1,Campylorhynchus zonatus,Band-backed Wren,
bacant1,Gymnocichla nudiceps,Bare-crowned Antbird,
bacant2,Thamnophilus multistriatus,Bar-crested Antshrike,
bacbab1,Turdoides gymnogenys,Bare-cheeked Babbler,
bacdov1,Macropygia unchall,Barred Cuckoo-Dove,
baceag2,Spizaetus isidori,Black-and-chestnut Eagle,
bacfan1,Rhipidura nigrocinnamomea,Black-and-cinnamon Fantail,
bacori1,Oriolus cruentus,Javan Oriole,
bacspa,Peucaea aestivalis,Bachman's Sparrow,BACS
bactro1,Apaloderma aequatoriale,Bare-cheeked Trogon,
bacwar,Vermivora bachmanii,Bachman's Warbler,
baeant1,Rhegmatorhina gymnops,Bare-eyed Antbird,
baemyn1,Streptocitta albertinae,Bare-eyed Myna,
baeowl1,Bubo sumatranus,,
baepig2,Patagioenas corensis,Bare-eyed Pigeon,
baepoc1,Aythya baeri,Baer's Pochard,
baerai1,Gymnocrex plumbeiventris,Bare-eyed Rail,
baerob1,Turdus nudigenis,Spectacled Thrush,
bafbul1,Nok hualon,Bare-faced Bulbul,
bafcur1,Crax fasciolata,Bare-faced Curassow,
baffal1,Micrastur ruficollis,Barred Forest Falcon,
bafibi1,Phimosus infuscatus,Bare-faced Ibis,
bafrai2,Gymnocrex rosenbergii,Blue-faced Rail,
bagbab2,Leonardina woodi,Bagobo Babbler,
bagcot1,Lipaugus ater,Black-and-gold Cotinga,
bagcuc1,Neomorphus radiolosus,Banded Ground Cuckoo,
bagtan1,Bangsia arcaei,Blue-and-gold Tanager,
bagtan2,Bangsia melanochlamys,Black-and-gold Tanager,
bagwea1,Ploceus baglafecht,Baglafecht Weaver,
bahant1,Herpsilochmus pileatus,Bahia Antwren,
bahgoo,Anser indicus,Bar-headed Goose,
bahlau1,Melanocichla calva,Bare-headed Laughingthrush,
bahmoc,Mimus gundlachii,Bahama Mockingbird,BAMO
bahnig1,Nyctiprogne vielliardi,Plain-tailed Nighthawk,
bahspi1,Synallaxis cinerea,Bahia Spinetail,
bahswa,Tachycineta cyaneoviridis,Bahama Swallow,BAHS
bahtan1,Tangara gyrola,Bay-headed Tanager,
bahtap1,Eleoscytalopus psychopompus,Bahia Tapaculo,
bahtre1,,,
bahtyr1,Phylloscartes beckeri,Bahia Tyrannulet,
bahwoo,Nesophlox evelynae,Bahama Woodstar,BAWO
bahyel1,Geothlypis rostrata,Bahama Yellowthroat,BAYE
baicra1,Zapornia pusilla,Baillon's Crake,
baifly1,Myiodynastes bairdii,Baird's Flycatcher,
