common_name,scientific_name,ebird_code,alpha
Black-headed Grosbeak,Pheucticus melanocephalus,bkhgro,BHGR
Black-throated Blue Warbler,Setophaga caerulescens,btbwar,BTBW
Black-throated Gray Warbler,,,
Black-throated Green Warbler,Setophaga virens,btnwar,BTNW
Blackburnian Warbler,Setophaga fusca,bkbwar,BLBW
Blackpoll Warbler,Setophaga striata,bkpwar,BLPW
Blue Jay,Cyanocitta cristata,blujay,BLJA
Blue-gray Gnatcatcher,,,
Blue-headed Vireo,Vireo solitarius,buhvir,BHVI
Blue-winged Teal,Spatula discors,buwtea,BWTE
Blue-winged Warbler,Vermivora cyanoptera,buwwar,BWWA
Bobolink,Dolichonyx oryzivorus,boboli,BOBO
Bohemian Waxwing,Bombycilla garrulus,bohwax,BOWA
Bonaparte's Gull,Chroicocephalus philadelphia,bongul,BOGU
Boreal Chickadee,Poecile hudsonicus,borchi2,BOCH
Boreal Owl,Aegolius funereus,borowl,BOOW
Brant,,,
Brewer's Blackbird,Euphagus cyanocephalus,brebla,BRBL
Brewer's Sparrow,Spizella breweri,brespa,BRSP
Broad-winged Hawk,Buteo platypterus,brwhaw,BWHA
Brown Creeper,Certhia americana,brncre,BRCR
Brown Thrasher,Toxostoma rufum,brnthr,BRTH
Brown-headed Cowbird,Molothrus ater,bnhcow,BHCO
Bufflehead,Bucephala albeola,buffle,BUFF
Bullock's Oriole,Icterus bullockiorum,,
Bushtit,,,
California Gull,Larus californicus,calgul,CAGU
California Quail,Callipepla californica,calqua,CAQU
Canada Goose,Branta canadensis,cangoo,CANG
Canada Jay,Perisoreus canadensis,gryjay,CAJA
Canada Warbler,Cardellina canadensis,canwar,CAWA
Cape May Warbler,Setophaga tigrina,camwar,CMWA
Carolina Wren,Thryothorus ludovicianus,carwre,CARW
Caspian Tern,Hydroprogne caspia,caster1,CATE
Cassin's Finch,Haemorhous cassinii,casfin,CAFI
Cassin's Vireo,Vireo cassinii,casvir,CAVI
Cedar Waxwing,Bombycilla cedrorum,cedwax,CEDW
Cerulean Warbler,Setophaga cerulea,cerwar,CERW
Chestnut-backed Chickadee,Poecile rufescens,chbchi,CBCH
Chestnut-collared Longspur,Calcarius ornatus,chclon,CCLO
Chestnut-sided Warbler,Setophaga pensylvanica,chswar,CSWA
Chimney Swift,Chaetura pelagica,chiswi,CHSW
Chipping Sparrow,Spizella passerina,chispa,CHSP
Chuck-will's-widow,Antrostomus carolinensis,chwwid,CWWI
Clapper Rail,Rallus crepitans,clarai11,CLRA
Clark's Nutcracker,Nucifraga columbiana,clanut,CLNU
Clay-colored Sparrow,Spizella pallida,clcspa,CCSP
Cliff Swallow,,,
